redemption_id,customer_id,ts_epoch,timestamp,promo_redemptions_on_device,promo_redemptions_on_ip,accounts_on_device_7d,signup_to_redeem_seconds,email_pattern_similarity,component_account_count,payout_destination_reuse,abuse_label,split
RD_AB_00032_00,CUST_PA00032_00,1768286369.2293222,2026-01-13T06:39:29.229322+00:00,0,0,1,16.0,0.6041956196552908,6,0,1,train
RD_004284,CUST_002172,1768286403.608805,2026-01-13T06:40:03.608805+00:00,0,0,1,11062.5,0.277064172722592,1,0,0,train
RD_AB_00032_01,CUST_PA00032_01,1768288455.360715,2026-01-13T07:31:08.700189+00:00,1,1,2,18.8,0.5334522072028327,6,0,1,train
RD_AB_00032_05,CUST_PA00032_05,1768291576.101418,2026-01-13T09:53:06.044518+00:00,5,5,6,17.7,0.8557196944418259,6,0,1,train
RD_AB_00032_02,CUST_PA00032_02,1768293584.648607,2026-01-13T08:15:06.682160+00:00,2,2,3,52.9,0.5992763545511979,6,0,1,train
RD_AB_00032_04,CUST_PA00032_04,1768295836.3674138,2026-01-13T09:59:07.013770+00:00,0,4,5,5.9,0.5541599917370954,6,0,1,train
RD_AB_00032_03,CUST_PA00032_03,1768296218.2296576,2026-01-13T09:17:14.067148+00:00,3,3,4,18.8,0.3558447316256181,6,0,1,train
RD_004978,CUST_000255,1768319163.9119344,2026-01-13T15:46:03.911934+00:00,0,0,1,327.9,0.14112392481693023,1,0,0,train
RD_003799,CUST_001957,1768357779.180104,2026-01-14T02:29:39.180104+00:00,0,0,1,507.4,0.32037885362641055,1,0,0,train
RD_AB_00028_00,CUST_PA00028_00,1768369139.7176604,2026-01-14T05:38:59.717660+00:00,0,0,1,13.3,0.8725656111873524,3,0,1,train
RD_AB_00028_01,CUST_PA00028_01,1768369310.7166317,2026-01-14T06:46:23.668502+00:00,0,1,2,9.6,0.507539292325217,3,0,1,train
RD_AB_00028_02,CUST_PA00028_02,1768376480.684374,2026-01-14T06:01:42.123157+00:00,0,2,1,24.6,0.6822819737119159,3,0,1,train
RD_001744,CUST_001296,1768385254.3104103,2026-01-14T10:07:34.310410+00:00,0,0,1,2863.2,0.2864423326574506,1,0,0,train
RD_000462,CUST_000076,1768388615.990868,2026-01-14T11:03:35.990868+00:00,0,0,1,3299.6,0.3260373875243663,1,0,0,train
RD_000382,CUST_001801,1768395170.9078863,2026-01-14T12:52:50.907886+00:00,0,0,1,8600.4,0.03880835190358677,1,0,0,train
RD_003098,CUST_000513,1768397523.2114358,2026-01-14T13:32:03.211436+00:00,0,0,1,455.0,0.4081861330455066,4,0,0,train
RD_004079,CUST_002989,1768415906.3887956,2026-01-14T18:38:26.388796+00:00,0,0,1,1192.1,0.08709658286108732,1,0,0,train
RD_002870,CUST_003715,1768416312.0502746,2026-01-14T18:45:12.050275+00:00,0,0,1,1176.0,0.23620493568813655,1,0,0,train
RD_003090,CUST_002722,1768419173.8832178,2026-01-14T19:32:53.883218+00:00,0,0,1,198.2,0.03511625090221444,1,0,0,train
RD_005454,CUST_003062,1768423876.2610383,2026-01-14T20:51:16.261038+00:00,0,0,1,2500.9,0.4153913023049232,1,0,0,train
RD_AB_00065_00,CUST_PA00065_00,1768425563.3316393,2026-01-14T21:19:23.331639+00:00,0,0,1,61.6,0.7184347019957846,3,0,1,train
RD_AB_00065_01,CUST_PA00065_01,1768430271.9990175,2026-01-14T21:22:43.935378+00:00,1,1,2,13.9,0.7046584255494488,3,0,1,train
RD_AB_00065_02,CUST_PA00065_02,1768433801.246074,2026-01-14T22:04:43.374791+00:00,2,2,3,58.8,0.8830837884070154,3,0,1,train
RD_004515,CUST_001744,1768457435.9063666,2026-01-15T06:10:35.906367+00:00,0,0,1,1623.7,0.16651985420150295,1,0,0,train
RD_004362,CUST_002092,1768462091.389518,2026-01-15T07:28:11.389518+00:00,0,0,1,12141.4,0.3983095270314582,1,0,0,train
RD_002386,CUST_000294,1768468043.9544861,2026-01-15T09:07:23.954486+00:00,0,0,1,731.5,0.12363440243347423,1,0,0,train
RD_004817,CUST_002722,1768475129.5580776,2026-01-15T11:05:29.558078+00:00,0,0,1,20637.1,0.4587965935668964,1,0,0,train
RD_003676,CUST_003537,1768493560.558187,2026-01-15T16:12:40.558187+00:00,0,0,1,452.5,0.4393505750600485,1,0,0,train
RD_001592,CUST_003422,1768516041.1462307,2026-01-15T22:27:21.146231+00:00,0,0,1,746.4,0.29146960113044496,1,0,0,train
RD_004061,CUST_001255,1768542318.0322924,2026-01-16T05:45:18.032292+00:00,0,0,1,4295.4,0.3365477340526295,1,0,0,train
RD_005117,CUST_001350,1768561943.5290039,2026-01-16T11:12:23.529004+00:00,0,0,1,3269.3,0.02760273534003408,1,0,0,train
RD_002247,CUST_004426,1768572864.4705503,2026-01-16T14:14:24.470550+00:00,0,0,1,10449.4,0.12939345357727858,1,0,0,train
RD_002071,CUST_002722,1768619004.4091022,2026-01-17T03:03:24.409102+00:00,0,0,1,12237.3,0.11666731586162042,1,0,0,train
RD_003875,CUST_004251,1768620667.852026,2026-01-17T03:31:07.852026+00:00,0,0,1,959.4,0.0068556638561341615,1,0,0,train
RD_003256,CUST_001993,1768622911.8122418,2026-01-17T04:08:31.812242+00:00,0,0,1,1362.0,0.3690391723979042,1,0,0,train
RD_001305,CUST_001350,1768641278.9094286,2026-01-17T09:14:38.909429+00:00,0,0,1,1906.0,0.12898319592673674,1,0,0,train
RD_001699,CUST_000129,1768677421.0075564,2026-01-17T19:17:01.007556+00:00,0,0,1,976.4,0.17432852120496242,1,0,0,train
RD_004240,CUST_003641,1768692452.0849283,2026-01-17T23:27:32.084928+00:00,0,0,1,4839.8,0.15953260385170867,1,0,0,train
RD_003283,CUST_002113,1768692710.4324212,2026-01-17T23:31:50.432421+00:00,0,0,1,5240.7,0.13649230053689346,1,0,0,train
RD_000760,CUST_001957,1768713236.6679225,2026-01-18T05:13:56.667922+00:00,0,0,1,2824.4,0.11840741748961944,1,0,0,train
RD_AB_00053_00,CUST_PA00053_00,1768715165.8205235,2026-01-18T05:46:05.820524+00:00,0,0,1,17.7,0.43335694234842875,6,0,1,train
RD_AB_00053_01,CUST_PA00053_01,1768715615.185484,2026-01-18T05:52:17.317035+00:00,0,1,2,10.8,0.721442903639503,6,1,1,train
RD_002042,CUST_003075,1768724092.9495213,2026-01-18T08:14:52.949521+00:00,0,0,1,693.3,0.23473944264432953,1,0,0,train
RD_AB_00053_02,CUST_PA00053_02,1768725382.2930982,2026-01-18T06:55:19.234199+00:00,2,2,3,47.4,0.801482726826689,6,1,1,train
RD_AB_00053_03,CUST_PA00053_03,1768728915.5381997,2026-01-18T08:34:46.060684+00:00,0,3,4,14.4,0.6935753297167949,6,1,1,train
RD_003336,CUST_001744,1768728923.8842325,2026-01-18T09:35:23.884233+00:00,0,0,1,545.2,0.05895734123513449,1,0,0,train
RD_AB_00087_00,CUST_PA00087_00,1768729302.266058,2026-01-18T09:41:42.266058+00:00,0,0,1,21.3,0.4835646496311007,7,0,1,train
RD_AB_00053_04,CUST_PA00053_04,1768730926.2959366,2026-01-18T10:19:35.767107+00:00,4,4,1,25.4,0.7276881804186456,6,1,1,train
RD_AB_00087_01,CUST_PA00087_01,1768731101.6369715,2026-01-18T09:43:23.567441+00:00,1,1,2,35.7,0.5984768304330231,7,1,1,train
RD_AB_00087_02,CUST_PA00087_02,1768733855.9641967,2026-01-18T11:34:27.659486+00:00,2,2,3,28.6,0.7480557455003557,7,1,1,train
RD_AB_00053_05,CUST_PA00053_05,1768735630.1307235,2026-01-18T10:33:13.976412+00:00,5,5,6,23.2,0.8807782561411998,6,1,1,train
RD_AB_00087_03,CUST_PA00087_03,1768736504.728445,2026-01-18T10:14:44.244827+00:00,0,3,4,67.0,0.7505132111201916,7,1,1,train
RD_AB_00051_00,CUST_PA00051_00,1768736648.3197842,2026-01-18T11:44:08.319784+00:00,0,0,1,27.2,0.8114866095665949,6,0,1,train
RD_AB_00051_03,CUST_PA00051_03,1768737748.2408133,2026-01-18T13:51:55.452691+00:00,3,3,4,37.7,0.7192805909911719,6,1,1,train
RD_AB_00051_02,CUST_PA00051_02,1768737854.0159986,2026-01-18T13:27:18.099602+00:00,2,2,3,53.1,0.16699533787226378,6,1,1,train
RD_AB_00051_05,CUST_PA00051_05,1768738787.1368778,2026-01-18T16:35:37.094849+00:00,0,5,6,52.2,0.46458882800058,6,1,1,train
RD_AB_00041_00,CUST_PA00041_00,1768739279.4836984,2026-01-18T12:27:59.483698+00:00,0,0,1,19.4,0.6843434847293313,6,0,1,train
RD_AB_00051_01,CUST_PA00051_01,1768741561.2224636,2026-01-18T12:37:03.895773+00:00,1,1,2,230.8,0.395238955932937,6,1,1,train
RD_AB_00041_01,CUST_PA00041_01,1768743022.6013358,2026-01-18T13:01:31.128242+00:00,1,1,2,20.8,0.8955445490624332,6,0,1,train
RD_AB_00051_04,CUST_PA00051_04,1768746603.2232575,2026-01-18T14:34:42.929225+00:00,4,4,5,23.4,0.9166347604587227,6,1,1,train
RD_AB_00041_03,CUST_PA00041_03,1768746707.7189448,2026-01-18T14:47:25.764064+00:00,3,3,4,39.7,0.8067469937477075,6,0,1,train
RD_AB_00041_02,CUST_PA00041_02,1768749199.4264374,2026-01-18T14:43:36.933962+00:00,2,2,3,86.2,0.9083611698203086,6,0,1,train
RD_AB_00041_04,CUST_PA00041_04,1768750787.516775,2026-01-18T16:40:49.241430+00:00,4,4,5,35.6,0.5756568195446283,6,0,1,train
RD_AB_00041_05,CUST_PA00041_05,1768759591.103357,2026-01-18T14:31:00.249779+00:00,5,5,1,52.0,0.8640921310500624,6,0,1,train
RD_AB_00034_00,CUST_PA00034_00,1768760830.897046,2026-01-18T18:27:10.897046+00:00,0,0,1,33.5,0.6825059843299618,6,0,1,train
RD_AB_00034_01,CUST_PA00034_01,1768761241.396067,2026-01-18T19:19:40.043204+00:00,0,1,2,49.0,0.8157914495781713,6,0,1,train
RD_AB_00034_02,CUST_PA00034_02,1768763008.8310914,2026-01-18T21:24:12.309042+00:00,2,2,1,9.2,0.7952010275314351,6,0,1,train
RD_AB_00034_03,CUST_PA00034_03,1768763277.4298275,2026-01-18T21:10:35.375837+00:00,3,3,4,0.9,0.7777457746883831,6,0,1,train
RD_002063,CUST_002361,1768772319.9480398,2026-01-18T21:38:39.948040+00:00,0,1,1,921.5,0.18882915286174742,40,0,0,train
RD_AB_00034_05,CUST_PA00034_05,1768776724.7771823,2026-01-18T22:50:33.621393+00:00,5,5,6,37.2,0.7042730286725389,6,0,1,train
RD_AB_00034_04,CUST_PA00034_04,1768778713.4184885,2026-01-18T22:44:05.867007+00:00,4,4,5,16.4,0.5478572979333945,6,0,1,train
RD_002609,CUST_003580,1768788996.769082,2026-01-19T02:16:36.769082+00:00,0,0,1,13947.4,0.0580509966760266,1,0,0,train
RD_004945,CUST_000425,1768798683.8721178,2026-01-19T04:58:03.872118+00:00,0,0,1,1125.2,0.17613239572311531,1,0,0,train
RD_004314,CUST_001801,1768813200.9039266,2026-01-19T09:00:00.903927+00:00,0,0,1,11029.0,0.3374131474322791,1,0,0,train
RD_001448,CUST_002668,1768831875.3323472,2026-01-19T14:11:15.332347+00:00,0,0,1,1625.7,0.3018837150163248,1,0,0,train
RD_001839,CUST_002172,1768844027.498779,2026-01-19T17:33:47.498779+00:00,0,0,1,9942.8,0.8301267595376451,1,0,0,train
RD_000359,CUST_002922,1768860283.1868906,2026-01-19T22:04:43.186891+00:00,0,0,1,219.7,0.0273666569115547,1,0,0,train
RD_003074,CUST_002361,1768874882.8125184,2026-01-20T02:08:02.812518+00:00,0,0,1,2294.6,0.15225603338229446,29,0,0,train
